Subject,Activity,AccMeanX,AccMeanY,AccMeanZ,AccStdX,AccStdY,AccStdZ,AccEnergyX,AccEnergyY,AccEnergyZ,GravAccMeanX,GravAccMeanY,GravAccMeanZ,GravAccStdX,GravAccStdY,GravAccStdZ,GravAccEnergyX,GravAccEnergyY,GravAccEnergyZ,AccJerkMeanX,AccJerkMeanY,AccJerkMeanZ,AccJerkStdX,AccJerkStdY,AccJerkStdZ,AccJerkEnergyX,AccJerkEnergyY,AccJerkEnergyZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroStdX,GyroStdY,GyroStdZ,GyroEnergyX,GyroEnergyY,GyroEnergyZ,GyroJerkMeanX,GyroJerkMeanY,GyroJerkMeanZ,GyroJerkStdX,GyroJerkStdY,GyroJerkStdZ
25,DownStairs,0.32851641,0.002698258,-0.049842307,-0.23601697,0.055414203,-0.50475119,-0.70638032,-0.78403702,-0.8813987,0.96690231,-0.087250479,0.098063283,-0.95807319,-0.95201443,-0.91333781,0.90881175,-0.99061104,-0.98276483,0.10342642,0.07612457,-0.18869104,-0.52649279,-0.14569869,-0.70839223,-0.88563403,-0.63035571,-0.95375151,0.39214245,-0.27977107,0.10653614,-0.16432115,-0.55797057,-0.50185529,-0.56878485,-0.89578306,-0.88408275,0.010901343,-0.27283163,0.095963469,-0.30621555,-0.79284792,-0.61401985
28,UpStairs,0.23329508,-0.0092452358,-0.11185373,-0.10956414,-0.016412005,-0.1903885,-0.60209137,-0.81267735,-0.70398145,0.82640983,-0.3597632,-0.3056751,-0.96913251,-0.94908005,-0.88593183,0.55486879,-0.77459888,-0.8077703,0.58343622,-0.30024935,0.12315679,-0.1419806,-0.19293437,-0.53880705,-0.62840628,-0.66938662,-0.88838543,0.16879375,-0.20247453,-0.086442341,-0.44967253,-0.42973096,0.01886242,-0.83691932,-0.83622174,-0.5086422,-0.2054237,0.36899512,-0.16184092,-0.42404502,-0.63008883,-0.56447276
4,Standing,0.27710382,-0.013321072,-0.11493253,-0.99566131,-0.85807082,-0.89800365,-0.99997238,-0.99560841,-0.99394463,0.97101268,-0.040860905,0.10015332,-0.99715761,-0.92951145,-0.92258699,0.91963242,-0.9986559,-0.98205952,0.07322864,-0.033832184,0.049295924,-0.99268335,-0.97613508,-0.98921508,-0.99992343,-0.99948147,-0.99977971,-0.035938531,-0.041873671,0.12738235,-0.97080291,-0.9691069,-0.95166517,-0.99951852,-0.99927121,-0.99807907,-0.1059371,-0.031619647,-0.024196909,-0.97969354,-0.98868499,-0.98079071
28,Sitting,0.26725355,-0.017479805,-0.13352382,-0.96941861,-0.83479712,-0.93962794,-0.99938222,-0.99418963,-0.99660942,0.91830014,-0.31605105,-0.12498752,-0.96135155,-0.93148221,-0.94713381,0.78226699,-0.8283935,-0.96613821,0.092408485,0.076981,0.007980157,-0.98416519,-0.95305087,-0.97910535,-0.99976658,-0.99844198,-0.99947583,-0.12603216,0.082790376,0.040682705,-0.89123246,-0.94275465,-0.9018532,-0.98823971,-0.99400045,-0.99437548,-0.019469192,-0.037393544,-0.112982,-0.98010242,-0.9842497,-0.94616974
19,Laying,0.19959107,-0.020391123,-0.11257235,-0.94724256,-0.97700204,-0.9855092,-0.99716561,-0.99979221,-0.99967883,-0.6860017,0.73056523,0.69631384,-0.86908119,-0.99357132,-0.98435746,-0.95821809,0.081213621,-0.056515729,0.090634237,0.020183347,0.0023758145,-0.98027037,-0.96512479,-0.98355259,-0.99967148,-0.9990608,-0.9996235,-0.037864526,-0.015951054,0.06173491,-0.98618117,-0.95661198,-0.96187739,-0.99982297,-0.9983789,-0.99894266,-0.094910956,-0.0261425,-0.06554564,-0.96429774,-0.97347863,-0.96480342
3,Laying,0.2631234,-0.022800213,-0.090274058,-0.99161904,-0.98927841,-0.99255127,-0.99988732,-0.99987924,-0.99939587,-0.17142693,0.85782535,0.44016108,-0.98851704,-0.98203982,-0.95776791,-0.91552251,0.48006088,-0.62648183,0.07998077,0.015400298,-0.0099256946,-0.98391107,-0.98786364,-0.99157224,-0.99976166,-0.99980986,-0.99984027,-0.0061884848,-0.086840005,0.07846504,-0.9799804,-0.9931234,-0.98105855,-0.99948739,-0.9999323,-0.99973329,-0.11061592,-0.044249601,-0.061933733,-0.9939723,-0.99391527,-0.98961782
9,DownStairs,,-0.050591189,-0.11398359,0.39409227,-0.18875959,-0.32532161,-0.028772967,-0.87008589,-0.79275747,0.95085512,-0.074348507,0.050343288,-0.97182454,-0.96319471,-0.89276555,0.86651044,-0.99379883,-0.99553238,0.2601942,-0.1032895,0.024470608,0.19771532,-0.25683614,-0.44861165,-0.28069862,-0.71931166,-0.84208392,0.40520952,-0.27018665,0.13968916,-0.50004255,-0.30449534,-0.36004671,-0.76560045,-0.75438682,-0.80860908,-0.1220958,-0.34772835,-0.16100277,-0.53020124,-0.39537894,-0.44117952
17,Sitting,0.28127327,-0.022621922,-0.12844917,-0.99849269,-0.99131176,-0.98612055,-0.99999017,-0.99989813,-0.99912392,0.96635272,0.092122521,0.020004923,-0.99598586,-0.99147645,-0.9747242,0.90727763,-0.97656826,-0.99956265,0.07432784,0.007706134,-0.00060618592,-0.99764613,-0.99054867,-0.99138057,-0.99998116,-0.99986451,-0.99983593,-0.025115224,-0.087060571,0.091812157,-0.99551668,-0.99101112,-0.995343,-0.99997935,-0.99990947,-0.9999593,-0.098317528,-0.037705897,-0.057021952,-0.99646401,-0.99883222,-0.99732135
29,Standing,0.27642384,-0.020017641,-0.10824899,-0.99732735,-0.98554714,-0.99294749,-0.99998518,-0.99988989,-0.99988365,0.9747388,-0.11523645,-0.0036735707,-0.99934885,-0.99465454,-0.99545139,0.92953998,-0.9817888,-0.9998291,0.080001318,0.0087699625,0.00021130936,-0.99480365,-0.98680524,-0.99572332,-0.99995104,-0.99978641,-0.99992774,-0.02894373,-0.073141946,0.089131731,-0.98870191,-0.99615403,-0.989415,-0.99992168,-0.99998267,-0.99990187,-0.094055689,-0.044664607,-0.054522959,-0.99029805,-0.99638711,-0.99209188
29,Laying,0.28030976,-0.017599057,-0.10546611,-0.99390332,-0.99550073,-0.99563716,-0.99995419,-0.99997851,-0.9999243,-0.3181803,0.83783191,0.54422619,-0.99612417,-0.99915567,-0.99717268,-0.97750041,0.41324252,-0.42627947,0.076698021,0.013650058,-0.0035933063,-0.99085369,-0.98938248,-0.99613856,-0.99989601,-0.99984167,-0.99993554,-0.037903693,-0.083442408,0.05297439,-0.99771709,-0.99594379,-0.99591878,-0.99992711,-0.99996731,-0.99954624,-0.098457221,-0.039967992,-0.052059405,-0.99621658,-0.99701736,-0.99460986
5,Standing,0.27693786,-0.010382468,-0.10478033,-0.99511662,-0.97912077,-0.96860799,-0.99996749,-0.99975483,-0.99910447,0.95796249,0.0004679853,0.1632211,-0.99556902,-0.98208614,-0.98090352,0.88513294,-0.99931517,-0.95086279,0.074384422,0.006827487,0.025667811,-0.99297901,-0.98765645,-0.98807918,-0.99992757,-0.99980536,-0.99975273,-0.027683793,-0.058302315,0.085313987,-0.9921106,-0.99020539,-0.99278391,-0.99995841,-0.99988357,-0.99994594,-0.096973988,-0.036419519,-0.052754031,-0.99455777,-0.99442364,-0.99512878
30,Walking,0.27699256,0.03180717,-0.12346672,-0.28338905,-0.13318429,-0.099748995,-0.74193118,-0.84989079,-0.63514283,0.96669198,-0.12725052,0.029332245,-0.98546436,-0.9351143,-0.95099532,0.90818476,-0.97671723,-0.99878099,0.23758519,-0.10092583,-0.11535376,-0.29121112,-0.28028393,-0.49810858,-0.74606995,-0.73652433,-0.8684793,0.014511816,-0.15958728,0.18753575,-0.35997336,0.052717035,-0.07254015,-0.81194353,-0.45255474,-0.5980943,-0.34316548,-0.088448562,-0.34986192,-0.50010303,-0.47912153,-0.38473383
